...1,gen,pA,pB,pD,tJ,tF,tG,tH,error,min_error,sim,final_min_error
2467,2467,3.331155636081975,3.215185610288698,13.278451923888769,0.0025321390076447,0.4676183669873061,0.33289636521165955,0.8300456807616733,17.18064,17.18064,15,17.18064
893,893,18.604770425156698,3.3832004639701485,12.56581085036784,0.00850579617351129,0.4204013000017285,0.34850498151255666,0.9373967024128604,17.18223,17.18223,5,17.18223
3268,3268,9.206483808768814,3.3586017671057142,12.925981920296213,0.00377248086750071,0.43593382857630314,0.2648533104452104,0.901224865883934,17.22799,17.22799,9,17.22799
1240,1240,9.191208320232649,3.414022457438886,12.67491315814537,0.0036339135426748,0.4055543045218818,0.3756452723761268,0.8978902503744564,17.25045,17.25045,20,17.25045
3199,3199,13.901453530726103,3.5068906435675316,13.540555400460423,0.00528931141868102,0.4076737091492146,0.37976298622194654,0.9182527992153368,17.26183,17.26183,10,17.26183
3691,3691,18.32671915040223,3.5199752480242976,12.200439923114311,0.01241263388385921,0.41198614162076175,0.33889388356402456,0.934966321017061,17.2691,17.2691,16,17.2691
1315,1315,11.43806722830961,2.984185869625859,12.610177308995445,0.00806280135449551,0.4067134835920028,0.338109224322236,0.9174094463987272,17.27173,17.27173,3,17.27173
1449,1449,8.30502912093692,3.646768972786052,13.03910407212134,0.0050447050271048,0.4211020658478431,0.3392394196014828,0.9079897898840844,17.28688,17.28688,11,17.28688
1436,1436,10.425631771134432,3.467614158292008,12.341945915991118,0.01109442355215954,0.4517479028642714,0.24157990872640037,0.9176681772147252,17.28794,17.28794,13,17.28794
2571,2571,16.91158356010859,3.576829214692357,12.994304788305673,0.01908611066766997,0.42818859490570294,0.2903862812074711,0.9317752217472284,17.317990000000002,17.317990000000002,1,17.317990000000002
1326,1326,2.537766173584933,3.5512771579664943,12.796351609264963,0.02268799339127391,0.4390466641201802,0.3099664975124494,0.794785379228895,17.3395,17.3395,7,17.3395
3449,3449,15.80056115225642,3.7146715781872417,12.018415959747266,0.00568186821062864,0.3976665921122554,0.39638800375435407,0.92771008598132,17.40596,17.40596,6,17.40596
3406,3406,9.71140832792968,3.5696664291461997,12.230276014423952,0.00622267822698142,0.3903023370687811,0.3736979345973956,0.924978437224412,17.41285,17.41285,2,17.41285
2397,2397,6.312944590850268,3.6972708381528703,13.996574409489789,0.01076449694774005,0.4050982173647072,0.37253664877271886,0.9093807915954194,17.42756,17.42756,4,17.42756
1599,1599,4.496274204513169,3.083850462873981,14.049547078226896,0.02333713358663908,0.38604685920144544,0.3860792125236572,0.8517068645843794,17.4358,17.4358,18,17.4358
2187,2187,11.674931646401255,3.5918511529959427,12.708666853820445,0.02206304982321938,0.376365614929608,0.37619754284319373,0.9283081835235444,17.43956,17.43956,12,17.43956
3970,3970,6.832391419700387,3.5797589884246017,13.02151835773914,0.01229304548990606,0.42254644581664547,0.3967976200186293,0.9030292855784858,17.4481,17.4481,8,17.4481
1183,1183,19.291553312547165,4.033763587467724,12.491095976677816,0.00417292813654811,0.4682560631878659,0.1732540271242361,0.950627164085598,17.80878,17.80878,17,17.80878
3175,3175,8.72231635925292,3.94910625493868,12.064938757277307,0.00432690722972807,0.4964795046965523,0.15462481635714606,0.930086867798744,17.93625,17.93625,19,17.93625
869,869,4.465390684745485,5.9964596304489675,6.984202786364084,0.00183820262315018,0.322401044993038,0.497188698606695,0.9190703160888776,25.39613,25.39613,14,25.39613
