"","...1","gen","pA","pB","pD","btss49","tJ","tF","tG","tH","RUT3","error","min_error","sim","final_min_error"
"1",5574,5574,8.86439325554022,4.71027250136873,12.7861267666083,1.05182402649525,0.00886729292262847,0.430670635850555,0.382252578605653,0.914507169863882,0.322091634234992,19.53654,19.53654,17,19.53654
"2",5793,5793,14.8648070218731,4.98622835305069,13.2108505623313,1.22248194277069,0.0141117482981092,0.413161372816031,0.378892673832305,0.928310459963724,0.287868812708858,19.95304,19.95304,19,19.95304
"3",5901,5901,12.7723324169508,4.76860862696565,12.069154466487,1.02053991121712,0.0264434938856165,0.436423316989578,0.281814647499971,0.943186529773564,0.196743278077469,19.95878,19.95878,13,19.95878
"4",5542,5542,8.07222662636115,4.40975638660569,10.6903125373498,1.21806502591221,0.0242384431816723,0.354801154391967,0.391540397413455,0.909502424696357,0.21513886008249,20.07903,20.07903,10,20.07903
"5",5081,5081,10.7520798813985,3.99828535211951,11.7324747811807,1.36357780910378,0.0157673179347396,0.446839716319585,0.397707897315526,0.925782265414789,0.208585769862996,20.23723,20.23723,16,20.23723
"6",5998,5998,7.9402705280703,5.09476469164411,12.4262465059035,1.63401997212011,0.00543458259312617,0.398618946739546,0.345573276287107,0.898067320967333,0.35059938987241,21.26491,21.26491,18,21.26491
"7",5744,5744,10.773718003153,5.38319134174371,12.0895535426352,1.71584930474089,0.0029901151128415,0.428253251384571,0.34565296388178,0.898223878481682,0.360363991381038,21.68342,21.68342,1,21.68342
"8",3378,3378,11.0669868657427,4.84687694003438,12.8361541585386,1.91165819933081,0.031746750691348,0.427805216731879,0.260223829902834,0.932496980845487,0.281809552821823,21.73535,21.73535,14,21.73535
"9",3229,3229,7.52269951706113,5.01814494282593,13.7460094460061,1.62572046061366,0.0512942751830837,0.42971117417498,0.453770533076597,0.876193286650461,0.281746228904051,21.83067,21.83067,20,21.83067
"10",5975,5975,17.0785703950459,4.70266743743177,12.3120785957157,1.75070200904936,0.0686855073388741,0.435312659943178,0.364307934786841,0.932778957497609,0.306903670073802,21.89263,21.89263,6,21.89263
"11",2366,2366,7.17793606322437,3.93531542421745,13.5117738191057,1.60178603220415,0.0382339639369467,0.353086599169709,0.48033166611024,0.875135172650577,0.373402154720297,22.00058,22.00058,3,22.00058
"12",5811,5811,9.60440210108864,4.51403166235505,12.9031043743017,1.90271473872427,0.0231022591805882,0.405053138319246,0.370818635245756,0.918562088615142,0.392743148252135,22.11425,22.11425,2,22.11425
"13",4829,4829,7.29627300161862,4.87312274996749,10.2988400792926,1.81746146915529,0.0117530437255185,0.372665539372865,0.420767063954319,0.918771467331562,0.262011998035366,22.41663,22.41663,12,22.41663
"14",3537,3537,11.877009098814,5.64277089333435,11.4841355063719,1.91856743347793,0.0191373243742842,0.348768851970014,0.556853433584766,0.890746920626288,0.412274676918469,23.69066,23.69066,15,23.69066
"15",5715,5715,17.6853521762937,5.25778716913304,13.9662630035213,2.20714134192291,0.0358723227369677,0.427598076440288,0.453394938148801,0.924604162582821,0.390185332942463,23.69442,23.69442,4,23.69442
"16",5324,5324,8.58649845374286,5.30652071481881,10.949231262687,2.23461852238923,0.00799311217841312,0.429506652025175,0.41667987828092,0.942256972837084,0.467805151814481,24.53962,24.53962,8,24.53962
"17",3307,3307,9.1794441544618,5.46153922262204,12.9986967832384,2.63750859152625,0.0298209145132904,0.34012401832336,0.451587308431463,0.90900629727798,0.47062404665341,25.2824,25.2824,7,25.2824
"18",5639,5639,11.1553217536926,6.62843653887871,12.6702153052943,2.38421362277328,0.0266758969704866,0.356980434823184,0.400298828043153,0.924827861624244,0.424566596260516,25.31245,25.31245,9,25.31245
"19",1606,1606,5.73835247944113,5.8372355873815,12.0909920033247,3.10832455485101,0.012447650059506,0.420666482515711,0.485025233518482,0.885193974284477,0.491848615138424,26.58961,26.58961,5,26.58961
"20",4930,4930,7.49262535315299,5.67037507521748,6.26501343085607,4.5552327916816,0.0320866011557605,0.29778910285034,0.320895954550887,0.89791861234985,0.342245247038279,32.13121,32.13121,11,32.13121
